Organization,CO2 Emissions
"ANTONOV JSC ""Antonov""",256.21
ASSATELLIT Satellit PE,256.21
ASFORTPOST FORTPOST Ltd.,256.21
"UgtegekomgrupAS LLC "" Ug telekom grup """,256.21
"METROKH Municipal Company ""Kharkov Metropolitan""",256.21
ASKUSHNIR FOP Kushnir Aleksandr Andreevich,256.21
Comfy Comfy Trade LLC,256.21
CorsideGroup UBIS LLC,256.21
"KOVALSKA LLC ""Industrial and Construction Group Kovalska""",256.21
ASZARKO CHP Zarko Alexandr Ivanovich,256.21
GIPTEL GIPTEL LLC,256.21
VOSTOKLTD Vostok Ltd.,256.21
KHRSA Kharkiv Regional State Administration,256.21
NET911UA PE Korotenko Artem Oleksandrovych,256.21
"INFOTECH STATE ENTERPRISE ""INFOTECH""",256.21
QUICKNET QUICKNET LLC,256.21
LLCSIMSTAR2 Comfort XXI Century Ltd.,256.21
ASPEChAYKOF CHAIKOF Ltd.,256.21
ONLINE ONLINE LLC,256.21
UBS South Business Communication,256.21
CrimeaTechnology Nikita Sergienko,256.21
SEVSTAR Lancom Ltd.,256.21
ASBITNET PE Snitcar Olexandr Antonovich,256.21
UAProstir UAProstir Ltd.,256.21
ASVEKTOR TRK Vektor Ltd.,256.21
Optocom Optocom Ltd,256.21
"TAS Private Joint Stock Company ""Insurance Company TAS""",256.21
VALEX PrJSC Valex,256.21
NETLAN_NET_UA CHP Poddubny Sergey Valentynovich,256.21
"ASMIRTELEKOM PE ""MIRTELEKOM""",256.21
IPORT IPORT UNITED LLC,256.21
AS13032 Kyiv National Taras Shevchenko University,256.21
CityLink PE Yakymenko Mykola Oleksandrovych,256.21
EXPRES Sergey Kus,256.21
VAMNET PE Domoslavskiy Sergiy Volodymyrovych,256.21
SCSM Staff Center Ship Management Ltd.,256.21
Atracom TOV Atracom,256.21
TASCOMBANK TASCOMBANK PJSC,256.21
ECall eCall Limited Liability Company,256.21
ZTCOM DOM TELECOM LLC,256.21
KKNK KKNK Technobud Ltd,256.21
UKRINFORM Ukrainian National News Agency UKRINFORM,256.21
"ASOPENWAY ""OPENWAY"" LLC.",256.21
"FCSH PJSC ""Football Club ""Shakhtar"" (Donetsk)""",256.21
ICM PIK Ltd,256.21
ICS State Enterprise Information Court Systems,256.21
OMEGALTD OMEGA LTD,256.21
INFOSYSTEMS INFOSYSTEMS Ltd.,256.21
INCOM Incom Net Ltd,256.21
NOVAPOSHTA Nova Poshta Ltd.,256.21
ECLIPSESP Sigma Software LLC,256.21
as35319 ALTAIR MEGA LLC,256.21
NAVIGATOR Lanet LLC,256.21
ADAMANT2 ADAMANT,256.21
RADAUA Office of the Verkhovna Rada of Ukraine,256.21
SNU Olga Soroka,256.21
Merezha Merezha LLC,256.21
WEBBER Weber Ltd,256.21
UCCI Ukrainian Chamber of Commerce and Industry,256.21
UOS UKRANIAN OPTICAL SYSTEMS AND TECHNOLOGIES LLC,256.21
"EPICENTRK ""EPICENTR K"" LLC",256.21
KOMINVEST PJSC Commercial Investment Bank,256.21
DitekAS DITEK Ltd,256.21
DATASTORE TSOD Ltd.,256.21
LIMNET LIMNET,256.21
RLAN FOP Onuschak Oleg Volodimirovich,256.21
IPPLUS Info Space Plus Ltd.,256.21
LIR_ZSO_ASN Zinchenko Sergey Olegovich,256.21
PE_Olenich_AS Sergey Olenich,256.21
KNUBA KYIV NATIONAL UNIVERSITY OF CONSTRUCTION AND ARCHITECTURE,256.21
YUKOTEL YUKOTEL LLC,256.21
GOLDENNET Rabchuk Valentyna Viktorivna,256.21
EUROLAN UKRGEOKON LLC,256.21
NETMASTER PE Romanika Andriy Oleksandrovych,256.21
ASZMIJOV PC Media Zmijov,256.21
ASALFAELIT PE Alfa Elit Group,256.21
AGROPROSPERIS AGROPROSPERIS LLC,256.21
V42428 Viyskova Chastyna 2428,256.21
UMHAS LLC Ukrainian Media Holding,256.21
STVGroup SBK Service LLC,256.21
USPA Ukrainian Sea Ports Authority,256.21
ASUSPEKH ChP Uspekh,256.21
IPCOMUA PP IP Communications,256.21
octonet Lopatin Arkadiy Borisovich,256.21
ircomserv IrpenComunikaciaService LLC,256.21
"ASBERLAYN TOV ""BERLAYN""",256.21
"PE_TK_AMT_as PE ""TK AMT""",256.21
LIS Telecompany LiS LTD,256.21
MGN PE KRYVENKO SERGIY ANDRIYOVYCH,256.21
"MyTeleComUA LLC ""MyTeleCom""",256.21
ASAVATAR CHP Shmatko Sergey Leonidovic,256.21
Appline_Group_LLC Appline Group LLC,256.21
ASDIPNET ISP DIPNET Ltd.,256.21
FDN3 FOP Dmytro Nedilskyi,256.21
SHARENKOV Oleksii Sharienkov,256.21
ASTENOR OOO Tenor,256.21
ASLINKNET PE Scherban Evgeniy Aleksandrovich,256.21
RUBINTV Teleradiocompany RubinTelecom Ltd.,256.21
SBNET FOP Sergey Vasilyev,256.21
ru_apex Dmitry Zhmurco,256.21
euShield WEB3 Leaders INC,256.21
OCTAVACZ OCTAVA DEFENCE,256.21
SANDYNET ZAPOROZHELECTRONSNAB PKF LTD,256.21
XPRS FOP Kovalenko Igor Valentynovych,256.21
tv Global Technologies of Ukraine LLC,256.21
WEBNETWORK Individual entrepreneur Dyachenko Valentina Ivanovna,256.21
Chuguev CHKS LLC,256.21
ASAIRNET AirNet Ltd.,256.21
TernNET Toroptsev Igor,256.21
AUDEVIE PE Mykhaylo Sydorenko,256.21
FORYOUNET FOP Chumakova Olena Leonidivna,256.21
ASPETROVKA Chernysh Dmitry Petrovich,256.21
Bisnet IT Center Odesa LLC,256.21
ASSVSSTREAM PP SVS Stream,256.21
ASKOLOMIYCHUK FOP Kolomiychuk Igor Oleksandrovich,256.21
REDLINEZT LLC RED LINE TELECOM,256.21
ASFREENET FOP Martyinchuk Aleksandr Vasilevich,256.21
"ASBINET PP ""Merezha""",256.21
EuroNet FOP Matishynets Serhii,256.21
DLINE Dream Line LTD,256.21
NGroup FOP Polischyk O.V,256.21
PLANET Planet ltd.,256.21
PremierPlus Viknaland LLC,256.21
IBNET Katanytsia Lyubov Viktorivna,256.21
ITKOM ITKOM PE,256.21
ITR FOP Pilipenko Olexandr Olexandrovich,256.21
"BLACKSEA TV Company ""Black Sea"" Ltd",256.21
mevc PE Kolomiiets Mykola Volodymyrovych,256.21
DZO OPENTENDERS.ONLINE LLC,256.21
SAYENKO_KHARENKO Sayenko Kharenko Attorneys Office,256.21
"ASPLAZMA TOV ""Telecommunication company ""Plazma""",256.21
"VUSO Insurance company ""VUSO""",256.21
SUDA South Ukrainian Network Information Center,256.21
"NBM The enterprise with foreign investments ""TV and Radio Company NBM"" Ltd",256.21
Lecos Lecos Online Ltd.,256.21
Telesystems Telecommunication Systems LLC,256.21
ASCITADEL Citadel Crimea Ltd.,256.21
SEVONLINE Nikita Sergienko,256.21
HOMEOPTIC HOMEOPTIC LLC,256.21
"UkrPress State Publishing House ""The Press of Ukraine"" of the State Business Management",256.21
AgroTM TOV AGRO TM,256.21
SIL Seym Invest ltd,256.21
UNITED United Networks of Ukraine Ltd,256.21
LTC Lugansk Telephone Company,256.21
iPROsrv WEB3 Leaders INC,256.21
IDEAL FOP Samoylenko Oleksandr Volodymirovich,256.21
UMBRELLA Ambrella S Ltd.,256.21
ASWEBSERVICE FOP Kostiuk Roman,256.21
TANAID Limited liability company TANAID,256.21
BAHILOV Bahilov Ilya Vitalievich PE,256.21
ONLNK FOP Maksym Naumenko,256.21
UATEL Lanet Network Ltd,256.21
INET I.NET ltd,256.21
Neologic Neologic Ltd.,256.21
SMILA DIAVA ISP LLC,256.21
VIKHOST Zubritska Valeriia Nikolaevna,256.21
TUTHOST Denis Pavlovich Semenyuk,256.21
KHNEU Simon Kuznets Kharkiv National University of Economics,256.21
"WEARENET ""WeAreNet""",256.21
ASVATUTINONET FLP Lialiuk Andrey Nikolaevich,256.21
ASXCLOUD xCloud LLC.,256.21
ASFLYNET FOP Chaban Mihail Sergeevich,256.21
ASDISAVI Disavi Line Ltd.,256.21
ASHOTLAN LLC HOTLAN,256.21
"PREFIXMARKET LIMITED LIABILITY COMPANY ""I.D.STRATEGY""",256.21
ASOPANKY OPANKI.NET Ltd.,256.21
StarTelecom TOV Star Telecom Plus,256.21
SKYNET Samoilovych Illia Mykolaiovych,256.21
Megaprostir Kukushkin Anatoly Valerievich,256.21
Intelesi_LLC Intelesi LLC,256.21
ASXNET FLP Bogachenko Vasyl Valentinovich,256.21
PROLINE Proline TM Ltd.,256.21
"KRAEVID PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",256.21
FREGAT TRADITIONAL LLC,256.21
ZEONBUD ZEONBUD LLC,256.21
UNLIMITEDFIBER LLC Universalna Merezheva Kompaniya,256.21
"OPTIMAPHARM JV ""Optima Pharm",256.21
VAK VAK Ltd.,256.21
"ALTRON CJSC ""Altron""",256.21
STIKONET FOP A.L. Kryuchkov,256.21
ASULTRANET FOP Kukanov Vitaly Yurievich,256.21
XATNET IE Didyk Dmitriy Sergeyevich,256.21
VIPLAN ISP VIPLAN LLC,256.21
BADM BaDM LLC,256.21
SMBGROUP Michkovskiy Ruslan,256.21
"FreeUkraine ""INFORMATSIINE AGENTSTVO ""VILNA UKRAINA"" LLC",256.21
ENAMINE ENAMINE LTD,256.21
EUAM EUAM Ukraine,256.21
VENBEST TOV VENBEST,256.21
"AS12593 LLC ""UKRCOM""",256.21
"ukrdomen Private company ""Ukrainian hosting""",256.21
INTERPIPE INTERPIPE LLC Company,256.21
INFOCUS LLC Infocus,256.21
PINBANK JSC First Investment Bank,256.21
UMK LLC Universalna Merezheva Kompaniya,256.21
CIPHER CIPHER PRO LTD,256.21
WNET Load.me sp. z o. o.,256.21
TRANSCOM Transcom Ltd,256.21
ASDNEPRONET Volodymyr Shtark,256.21
"TMAS LIMITED LIABILITY COMPANY ""INFOLINK""",256.21
"TSYSTEMS PrJSC ""VF UKRAINE""",256.21
ASSoftTronik LLC PRIOCOM,256.21
KIEVLINE KIEVLINE LLC,256.21
DIGICOM PP DIGITAL COMMUNICATIONS,256.21
"ANTIDOT ""Pryama Mova"" Tov.",256.21
ASSUTYRIN PP Sutyrin Boris Viktorovich,256.21
"SMARTCOM LLC ""SMARTCOM""",256.21
ASCYBERLAN Cyberlan Ltd.,256.21
"oschadbank Joint Stock Company ""State Savings Bank of Ukraine""",256.21
ASPSTS Pimonenko Sergey,256.21
UNIONCOM UnionCOM Ltd,256.21
Shantyr Private Entrepreneur Shantyr Yuriy,256.21
ASSKYNETUA FOP Kondratyuk Evgeniy Vladimirovich,256.21
EPINATURA Epinatura LLC,256.21
EUROLINK IOT SYNDESI I.K.E.,256.21
ASPODOLSK Podolskie opticheskie seti Ltd.,256.21
SERVER SERVER.UA LLC,256.21
SVUA Sky Vision Ukraine Ltd,256.21
"evotek ""TAS Evotek"" LLC",256.21
UKRSPETSCOM Ukrspetskom LLC.,256.21
UAEXPRESS TOV BF Express Ltd,256.21
ASBITUA House Information Technology Ltd.,256.21
"BEST LIMITED LIABILITY COMPANY ""BEST SOLUTIONS""",256.21
CITYLAN CityLan LLC,256.21
ASLANPRO PP Dmutrashko Evgeny Vitalievich,256.21
"AS8207 PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",256.21
Telnet Ltd. Networking Center,256.21
"PRIVATBANK JSC Commercial Bank ""PrivatBank""",256.21
"ASVEKOUA Collective telephone company ""Veco"" Ltd.",256.21
VOM VOLYN OPTICAL NETWORKS LLC,256.21
Ciklum Ciklum LLC,256.21
CARLSBERGUA PJSC Carlsberg Ukraine,256.21
KMU Secretariat of the Cabinet of Ministers of Ukraine,256.21
DC DC Ukraine Ltd,256.21
"META ""META UA"" LLC",256.21
DSNS State Service of Ukraine for Emergencies,256.21
QOS TOV 'Dream Line Holding',256.21
STARLINK STARLINK LLC,256.21
GoodNet_Network COHERENT LLC,256.21
ASCITYNET FOP Mulyavka Vyacheslav Aleksandrovich,256.21
LambdaNetUA LAMBDA LLC,256.21
ADAMANT ADAMANT,256.21
DTEK DTEK SERVICE LIMITED LIABILITY COMPANY,256.21
ASLUXNET FOP Hordiiuk Petro Vasulyovuch,256.21
UATOP Global Ukraine Trade Ltd.,256.21
PULSAR PP Pulsar,256.21
"MERLINCOMUA PP ""Private Data""",256.21
Chumachenko Chumachenko Dmytro Stepanovych,256.21
"SMARTLINK TOV ""NOVI UKRAINSKI MEREZHI""",256.21
CSO Centr Servisnogo Oblslugovuvannya Ltd,256.21
INOVTEL LLC Inovatsiyni Telekomunikatsii,256.21
"AS3255 LLC ""DOMNET""",256.21
UFOnet Roman Hapii,256.21
ZNET Zubko Volodymyr Viktorovych,256.21
albion FOP Ruban Nataliya,256.21
"TVCableCenter PP ""TV Cable Center""",256.21
UKRNET UkrNet Ltd.,256.21
ASBUDKO FOP Budko Dmitro Pavlovich,256.21
Eurotelecom Nataliya Vasylivna Protsykevych,256.21
uzhnet Uzhnet LLC,256.21
GAZIKNET LIMNET,256.21
utg JSC UKRTRANSGAZ,256.21
"RACKPLACE LLC ""RACKPLACE""",256.21
AXAINSURANCE IC ARX INSURANCE PJSC,256.21
Bukovel LTD Bukovel,256.21
FREEHOST PE Freehost,256.21
CHROOT Chroot Network SRL,256.37235701906417
"UKRTELNET JSC ""Ukrtelecom""",256.4223102310231
ADFORM Adform A/S,256.5291686666667
HSTL HOSTLINE,256.575
SIMETRIC TANGO NETWORKS UK LTD,256.58178599999997
HAFSLUND GLOBALCONNECT AS,256.6066666666667
Procolix ProcoliX B.V.,256.6484853333333
OPENFIBER OPENFIBER B.V.,256.7689294693719
GLOBALLAYER Global Layer B.V.,256.9603062502316
RixHost SIA RixHost,256.98392039203924
MYRIAM PILAR ESCOBAR VEGA DON SERVER,257.5075
FIBRANODE fibranode Limited,257.5733333333334
GILEAD Gilead Sciences,257.70921300000003
SERVERSIDE,257.9342857142857
EVOWISE Evowise SRL,258.0954545454545
BCWARN,258.306
20069,258.306
ECCN Eric Charest,258.30600000000004
Flyservers S.A.,258.3148247412371
HROSH Andrii Hrosh,258.38111111111107
CA NETWORK S.A. DE C.V.,258.4398864943247
CODESTONECLOUD Codestone Solutions Limited,258.55199999999996
BSL Blackbird Solutions Limited,258.55199999999996
PFCLOUD Pfcloud UG,258.62958565285504
logicforge LogicForge Limited,258.73636111111114
Panama Ports Company,258.74
Importadora Ricamar,258.74
Cyber Cast International,258.74
Ministerio de la Presidencia,258.74
GEEK NETWORKS,258.74
Autoridad Nacional para la Innovacion Gubernamental,258.74
BANCO NACIONAL DE PANAMA,258.74
Offshore Racks S.A,258.74
Liberty Iberoamerica,258.74
Compania Goly,258.74
Metrobank,258.74
CREDICORP BANK S.A,258.74
Morgan & Morgan,258.74
Galaxy Communications,258.74
Atlantic Security Bank,258.74
Asociacion Panamena de Credito APC,258.74
Primer Banco del Istmo,258.74
Universidad Tecnologica de Panama,258.74
Cable & Wireless Panama,258.74
FIBERLINK COMMUNICATIONS,258.74
BANCO AZTECA PANAMA,258.74
Trans Ocean Network,258.74
PEGASUS TRAMITES Y GESTIONES ADMINISTRATIVOS,258.74
CELERO NETWORKS CORP,258.74
Sistemas Inalambricos S.A,258.74
Shadwell International Inc,258.74
Liberty Technologies Corp.,258.74
Interfast Panama S.A.,258.74
TURBO TECHNOLOGIES S.A,258.74
COMUNICACIONES METROPOLITANAS,258.74
CHINA MOBILE INTERNATIONAL PANAMA S.A.,258.74
Banco Aliado,258.74
COMUNICACIONES TASION,258.74
Balboa Bank Trust,258.74
EBUNTI PANAMA S.A.,258.74
Corporacion La Prensa S.A.,258.74
Inmobiliaria Don Antonio,258.74
PACIFIC NETWORK COMMUNICATION S.A.,258.74
DBS NETWORK,258.74
Internet Activo S.A.,258.74
AUTORIDAD,258.74
EDUALIANZA,258.74
PaNETma S.A.,258.74
HIPERFI,258.74
GLOBAL BANK,258.74
ITOCHU PANAMA,258.74
Cooperativa Profesionales,258.74
Nuevos Hoteles de Panama,258.74
BANESCO INTERNATIONAL BANK,258.74
AUTORIDAD NACIONAL DE LOS SERVICIOS PUBLICOS,258.74
ENX FUND INC,258.74
TOPMANAGE DE PANAMA S.A.,258.74
TECNOLOGIA APLICADA,258.74
TELCO Services S.A.,258.74
ANTENAS Y SISTEMAS,258.74
PLTFRMS N1 Solutions B.V. trading as PLTFRMS,258.76
IVX Ivx Group Limited,258.85111111111115
sardina01 Sardina Systems Sarl,259.085
CLODO CLODO CLOUD SERVICE CO. L.L.C,259.3045445
Ahold Koninklijke Ahold Delhaize N.V.,259.341112
SATELITAL TELECOMUNICACIONES S.A.C,259.35298746750215
Servada Servada B.V.,259.36533333333335
WISPER INTERNET INALAMBRICO S.A.S,259.40722250000005
NYA,259.475
Unlabeled Unlabeled,259.475
Metro MPLS,259.8633274442481
TornadoDatacenter Joseph Hofmann trading as 'Tornado Datacenter GmbH & Co. KG',259.897294
Ardinvest Ardinvest LTD,259.9254290429043
locotorpi Jurgita Jurgaitiene trading as LOCOTORPI,260.2377931172469
VOZELIA SA,260.4866666666667
ELSYNET Elsynet S.r.l.,260.4911111111111
ADYEN Adyen N.V.,260.551344
DMZHOST TECHOFF SRV LIMITED,260.57666666666665
iwihost HOST TELECOM LTD,260.9272009187138
WINDSCRIBE,261.785
AKY TELECOM SPA,261.83
WALEHOST Alessandro Accorsi trading as Len Service SRL,261.95983885666027
EVOBITS EVOBITS Information Technology SRL,261.98002366430023
Beyond_ASN Beyond Relationship Marketing GmbH,262.39300000000003
Daticum Daticum AD,262.39309107881047
SecureDigitalApp Secure Digital Apps CO WLL,262.4341176470588
Columbus Networks Panama,262.6815738426157
DeluxHost Matteo Martelloni trading as DELUXHOST,262.685100510051
Lexistar Lexistar Alliance Ltd.,262.8435813581358
NETGUARD NETGUARD LLC,262.88861169368033
SEVENDC 7DC INTERNET LTD.,262.99888888888887
ISP PERU IX E.I.R.L.,263.27
A & D FOR CABLE TELEVISION IN THE SOUTHERN PERU SAC,263.27
BANCO DE CREDITO DEL PERU S.A,263.27
IWAY TELECOM SOCIEDAD ANONIMA CERRADA,263.27
MEDIA COMMERCE PERU S.A.C,263.27
SOFTBUTTERFLY SAC,263.27
COMPUNETWORK S.A.C.,263.27
LANINVERSAT E.I.R.L.,263.27
CHARACKWAVES CUSYPATA EXPORTIMPORT S.A.C.,263.27
Telefonica del Peru S.A.A.,263.27
FRAVATEL EIRL,263.27
BMC TECHNOLOGIES SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,263.27
INTEGRA NETWORK DEL PERU E.I.R.L.,263.27
ANURA PERU SAC,263.27
RED AMONES S.A.C.,263.27
INTERNEX NETWORKS S.A.C.,263.27
CONVERGIA,263.27
EDGEUNO S.A.C.,263.27
EMPRESA DE TELECOMUNICACIONES MULTIMEDIA ALFA,263.27
CORPORACION CONEXTELECOM S.A.C,263.27
MORENO YANOC NEMIAS BERNARDO,263.27
TELECOM BOLIVIA S.A.C,263.27
FIBER FIX S.A.C.,263.27
COLINANET S.A.,263.27
FIBERRED SAC,263.27
MEGAS MAYORISTAS S.A.C.,263.27
REDESVIP E.I.R.L.,263.27
LOA NETWORK JL S.A.C.,263.27
TELECOMUNICACIONES DEL FUTURO SAC,263.27
NAP Peru,263.27
MOVILMAX TELECOM S.A.,263.27
DESARROLLO DE INFRAESTRUCTURA DE TELECOMUNICACIONES PERU S.A.C. INFRATEL,263.27
FIBERTEL PERU S.A.,263.27
ADN TELECOM S.A.C.,263.27
VEMAX S.A.C,263.27
CORPORACION TARAZONA CATV S.A.C.,263.27
NETWIN S.A.C,263.27
ARAPA TELECOMUNICACIONES E.I.R.L.,263.27
CONEX TV E.I.R.L.,263.27
GTD PERU S.A,263.27
RED INTERCABLE PERU SAC,263.27
SERVICIOS BANCARIOS COMPARTIDOS S.A. UNIBANCA,263.27
ARTIC TELECOM E.I.R.L,263.27
DOLPHIN TELECOM DEL PERU S.A.C.,263.27
INVERSIONES EN TELECOMUNICACIONES DIGITALES S.A.C,263.27
P&P BUSINESS GROUP SAC,263.27
INTERMAX S.A.C.,263.27
IMPORTACIONES Y EXPORTACIONES C.L.K. S.A.C,263.27
MEGA ANDINA TV E.I.R.L.,263.27
EDDAS HOLDING GROUP SOCIEDAD ANONIMA CERRADA,263.27
COMWIFI TELECOMUNICACIONES E.I.R.L,263.27
P Y D TELECOM S.R.L.,263.27
NOVACLOUD S.A.C,263.27
GPON NETWORKS S.A.C.,263.27
EGP COMUNICACIONES S.A.C,263.27
CABLE VIDEO PERU SAC,263.27
FIBER CABLE E.I.R.L.,263.27
Alignet S.A.C,263.27
FIRTEL S.A.C.,263.27
KAZAV LATAM E.I.R.L.,263.27
FIBERLINK E.I.R.L.,263.27
SERVI CABLE S.A.C,263.27
BFT S.A.C.,263.27
TE.SA.M. PERU S.A,263.27
CABLE MAX SIGLO XXI S.R.L.,263.27
FIBRAMAX TEL S.A.C.,263.27
FICOM TELECOMUNICACIONES S.A.C.,263.27
TELEVISORA DEL SUR SAC,263.27
CABLE ANDINA S.A.C,263.27
CABLE MASTER COMUNICACIONES SAC,263.27
P & M COMUNICACIONES S.A.C.,263.27
VOZ Y TELEVISION SOCIEDAD ANONIMA CERRADA,263.27
CABLE SELVA CENTRAL S.A.C.,263.27
EXA NETWORKS S.A.C.,263.27
CABLE STAR TV SAC,263.27
ANDRESYSTEM NET S.A.C. ASYSNET,263.27
NEO FIBER SAC,263.27
RCT VISION S.A.C,263.27
REDCONEX E.I.R.L,263.27
CONEXION DIRECTA TELECOM S.A.C.,263.27
FIBER DIGITAL S.R.L,263.27
INVERSIONES CABLENET E.I.R.L.,263.27
IX ANDESPARK SAC,263.27
COMPANIA OPERADORA DE TELECOMUNICACIONES Y ADMINISTRADORA DE SERVICIOS PERU SAC,263.27
FIBERTIM S.A.C,263.27
ECONOCABLE MEDIA SAC,263.27
ALFIBER TELECOMUNICACIONES S.A.C.,263.27
PLANET CABLE S.A.C.,263.27
NEXTNET SAC,263.27
AMERICATEL PERU S.A.,263.27
INVENTA TELECOMUNICACIONES EIRL,263.27
INTERNET SOLUTIONS NETWORK PERU SAC,263.27
FORZA BUSSINES S.A.C.,263.27
NEXTGEN NETWORKS SOLUTIONS S.A.C.,263.27
HR SERVICIOS,263.27
LIBERTY NETWORKS PERU S.A.C.,263.27
AIRWIZ PERU E.I.R.L,263.27
FIBER LINE SAC,263.27
TELECABLE CENTRAL NETWORK SOCIEDAD ANONIMA CERRADA,263.27
BANTEL SAC,263.27
DATA ONLINE PERU S.A.C.,263.27
IFOX TELECOMUNICACIONES E.I.R.L.,263.27
GRIVA TECHNOLOGIES S.A.C,263.27
DIRECNET S.A.C,263.27
VIETTEL PERU S.A.C.,263.27
TOTAL NETWORKS S.A.,263.27
INGENIERiA EN GESTION DE NEGOCIOS Y OPORTUNIDADES S.A.C. INGENYO S.A.C.,263.27
GILAT TO HOME PERU S.A,263.27
Andesat Peru SAC,263.27
INVERSIONES TELCOTEL SAC,263.27
GIIPON PERU S.A.C.,263.27
RED OPTICA PERUANA E.I.R.L.,263.27
MULTIVISION S.R.L.,263.27
AMITEL PERU TELECOMUNICACIONES SAC,263.27
AGUSTINA SERVICIOS GENERALES S.A.C,263.27
LATINCABLE S.R.L.,263.27
INFINITE SPEED TELECOMUNICACIONES SAC,263.27
gmhost Mulgin Alexander Sergeevich,263.2840907045352
LIUXYON Kai Liu,263.36833333333334
ENTEL PERU S.A.,263.4574625074985
Red Cientifica Peruana,263.5786980867942
Naicoms Naicoms EOOD,263.58330199999995
AIRPOINT TELECOMUNICACIONES LIMITADA,263.87999999999994
OVH OVH SAS,263.8923790636217
WIN EMPRESAS S.A.C.,263.9636146666666
REDES HIBRIDAS,263.96818254550305
stackster Stackster LLC,264.0983338330835
HUGHES DE COLOMBIA S.A.S.,264.1001234876513
Access2IT Access2.IT Group B.V.,264.13997200559896
RDKIT RDK IT Solutions B.V.,264.16333333333336
DD DD webhosting B.V.,264.16333333333336
RGTN Redworks B.V.,264.16496125193737
AS56971 CGI GLOBAL LIMITED,264.20033521230124
MIS70 MIS70 LTD,264.21
Uniqa Uniqa Insurance JSC,264.21
KCM KCM SA,264.21
VELOXAS Velox Ltd.,264.21
SGROUP S Group International JSC,264.21
BNB Bulgarian National Bank,264.21
ITSERVICE ITservice 2009 LTD,264.21
OPTINETYAMBOL Optinet Ltd,264.21
NETRONIX Netroniks EOOD,264.21
GneneraliBG Generali Insurance AD,264.21
CARGOPLANET Cargo Planet Ltd.,264.21
Suvorovo Suvorovo NET Ltd,264.21
AS_iGaming_Ltd iGaming.com_Limited,264.21
SOPHARMA Sopharma Trading Jsc,264.21
VMobile Vmobile AD,264.21
Sofia_Municipality Sofia Municipality,264.21
BGPORTS BULGARIAN PORTS INFRASTRUCTURE,264.21
TRANSACTEU RYVYL (EU) EAD,264.21
ASCHIMBG Chimimport Plc,264.21
"AS60K ""Sixty K"" Ltd.",264.21
DataSyst Data Syst Ltd.,264.21
SOLYTRON ALSO Bulgaria EOOD,264.21
ALEXESCAPE Alex Escape LLC,264.21
Nemetschek Nemetschek OOD,264.21
FIXITY FIXITY LLC,264.21
kyup SiteGround Hosting EOOD,264.21
Armeec Insurance JSC Armeec,264.21
FINITE Finite Software Systems Ltd.,264.21
DSC Professional Protection Electronic Ltd.,264.21
BIOVET Biovet JSC,264.21
A1BG_RSS A1 Bulgaria EAD,264.21
FIBank First Investment Bank AD,264.21
ICS Icard Services PLC,264.21
MYPOSAS myPose Technologies AD,264.21
Osy_Technologies Osy Technologies S.a r.l.,264.21
EVOLONIA EVOLONIA LTD.,264.21
TradeNetworks Naxex Technological Development Ltd,264.21
ATLANTIS ATLANTIS BG Ltd.,264.21
BalchikNet Lafy OOD,264.21
INITLAB Civil association Init Lab,264.21
Hashlink Hashlink EOOD,264.21
SECURAX Securax Ltd.,264.21
AS8431 TEA Ltd.,264.21
ANGELSOFT Angel Soft OOD,264.21
DatamaxBG Datamax AD,264.21
DatamaxBG Datamax JSC,264.21
GOBULNET Business Network Ltd.,264.21
Koel1 Koel1 OOD,264.21
EVN Elektrorazpredelenie Yug EAD,264.21
CNS Computernet Services Ltd.,264.21
AKAT_Technologies AKAT TECHNOLOGIES LTD,264.21
PlayboxTechML Playbox Technology ME Ltd.,264.21
Elitcom ELITKOM Ltd.,264.21
A1BG_MB A1 Bulgaria EAD,264.21
MUSALASOFT Musala Soft EAD,264.21
A1BG_RSD A1 Bulgaria EAD,264.21
A1BG_RSG A1 Bulgaria EAD,264.21
Prosveta Prosveta Sofia PLC,264.21
LINKPLUSBG Link+ Ltd,264.21
TokudaBank Tokudabank Bulgaria AD,264.21
Euromaster_Import_Export_Ltd Euromaster Import Export Ltd,264.21
AS_ITR_Services ITR Services Ltd,264.21
GiganetNetworks GIGA FIBERNET ltd.,264.21
MBSVISION MBS Vision Ltd.,264.21
ITVNET AY TI VI NET LTD,264.21
PERNIKLAN Pernik Lan Ltd.,264.21
BolBgIztok BOL BG IZTOK LTD,264.21
EUROXP EuroExpress Ltd.,264.21
PONBG PON.BG Ltd.,264.21
NetIP Net IP Ltd.,264.21
Interlan INTERLAN BG Ltd.,264.21
VideoMaxAVS VideoMaxAVS Ltd.,264.21
LIULINNET Optical Structural Network Ltd.,264.21
nastech Nastech OOD,264.21
VILLAGENET VILLAGENET Ltd.,264.21
SOFIANET Ecoplast EOOD,264.21
DreamRadio Dreamradio.org EOOD,264.21
TODAKOM TODAKOM ASB EOOD,264.21
UBBNET United Bulgarian Bank AD,264.21
LINUXLTD Linux Ltd.,264.21
Softhouse Softhouse Ltd.,264.21
SOFTGROUP_AD SOFTGROUP AD,264.21
GOLDTELECOM GOLD TELECOM BULGARIA PLC,264.21
VIDEOSAT Videosat 21 Vek OOD,264.21
VMPLUS Vision Media Plus,264.21
The3 The Three Ltd.,264.21
